beta min,beta max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44

,,0.0 keV < E_tot < 100.0 keV:
36.87deg,53.13deg,0,392,149,134,71,723,554,961,78,95,45,0,0,33,35,0,0,0,0,69,78,93,198,1,667,1109,574,7,96,180,11,29,26,0,0,42,22,3,2,2,9,538,819,1564,2994
53.13deg,90.0deg,0,679,254,362,38,757,723,312,138,302,28,0,0,78,87,0,0,0,0,60,31,109,52,1,992,3010,344,19,101,69,17,79,13,2,0,50,32,6,1,1,3,583,303,1802,978

,,348.5078 keV < E_tot < 404.5489 keV:
-90.0deg,-53.13deg,0,324,211,403,40,1475,764,485,140,269,32,1,0,92,243,0,0,0,0,84,35,195,118,1,892,2317,377,15,131,92,30,78,16,1,0,63,42,3,0,6,1,430,250,1569,1069
-53.13deg,-36.87deg,0,147,110,103,67,1222,552,1495,70,69,52,0,0,40,106,1,0,0,0,53,83,121,390,1,518,675,626,13,84,251,23,20,25,0,0,36,33,0,6,4,6,336,710,1135,3235
-36.87deg,-23.58deg,0,81,53,34,33,870,352,2059,25,24,33,0,0,18,52,0,0,0,1,11,83,66,478,1,341,225,456,10,47,373,12,8,21,0,0,44,19,1,7,0,9,154,795,691,4682
-23.58deg,-11.537deg,0,46,24,12,38,678,176,2185,20,7,20,0,0,15,40,1,1,0,0,9,63,54,519,2,244,101,428,11,30,367,7,3,14,4,0,24,23,1,1,0,5,72,649,474,5368
-11.537deg,0.0deg,0,25,45,14,38,650,161,2154,29,8,18,0,0,10,34,0,0,0,0,8,68,31,507,2,215,90,397,8,24,412,13,2,17,0,0,34,22,2,10,0,6,44,701,382,5819
0.0deg,11.537deg,0,75,36,5,30,626,166,2146,20,3,23,0,0,15,21,0,0,0,0,8,86,41,511,0,247,76,417,3,30,369,9,2,15,0,0,33,22,0,4,0,5,66,649,386,5870
11.537deg,23.58deg,0,141,50,14,38,638,168,2018,34,13,29,0,0,20,23,0,0,0,1,17,117,42,506,1,251,98,385,8,36,334,12,3,15,2,0,22,21,0,0,0,2,87,605,479,5302
23.58deg,36.87deg,0,247,87,39,60,776,284,1973,37,22,36,0,0,23,19,0,0,0,1,20,126,56,485,0,315,218,476,8,41,369,17,5,22,2,0,25,14,0,3,1,6,170,758,713,4828
36.87deg,53.13deg,0,455,133,97,90,939,653,1470,95,89,73,0,0,52,67,0,0,0,0,50,124,93,303,1,544,601,530,10,87,239,18,12,18,0,0,48,23,3,0,1,3,327,738,1251,3416
53.13deg,90.0deg,0,702,295,429,63,1193,829,517,188,333,59,0,0,147,154,0,0,2,0,60,51,150,120,2,877,2350,313,12,117,72,19,74,14,1,0,64,31,0,1,0,1,407,235,1546,992

,,404.5489 keV < E_tot < 446.833 keV:
-90.0deg,-53.13deg,0,339,297,403,62,1880,901,749,154,306,44,0,0,154,334,1,1,0,1,71,44,200,176,3,735,1928,423,19,96,89,20,55,13,2,0,65,39,2,0,4,1,327,231,1368,1097
-53.13deg,-36.87deg,0,150,125,98,72,1412,558,1956,65,46,61,0,0,56,109,0,0,0,1,40,99,135,449,2,397,439,554,13,66,229,12,14,18,1,0,46,39,1,1,3,3,217,578,869,3202
-36.87deg,-23.58deg,0,76,63,28,49,1053,255,2584,28,15,33,0,0,31,90,0,0,0,0,9,90,66,599,1,278,124,395,18,32,328,7,2,17,0,0,40,33,1,4,0,8,100,617,488,4744
